,country__name,location,n,name
692,United States,SRID=4326;POINT (-118.13674 34.69804),1,Lancaster
693,Thailand,SRID=4326;POINT (102.10196 14.97066),1,Nakhon Ratchasima
694,United States,SRID=4326;POINT (-122.06496 37.90631),1,Walnut Creek
695,Ukraine,SRID=4326;POINT (30.11209 49.80939),1,Bila Tserkva
696,United States,SRID=4326;POINT (-87.78449999999999 41.88503),1,Oak Park
697,Mexico,SRID=4326;POINT (-99.06064000000001 19.60492),1,Ecatepec
698,India,SRID=4326;POINT (77.72741000000001 11.3428),1,Erode
699,United Kingdom,SRID=4326;POINT (-1.75206 53.79391),1,Bradford
700,United States,SRID=4326;POINT (-92.01984 30.22409),1,Lafayette
701,Poland,SRID=4326;POINT (14.57182 53.55214),1,Police
702,Belgium,SRID=4326;POINT (5.11662 51.19188),1,Mol
703,Indonesia,SRID=4326;POINT (106.9896 -6.2349),1,Bekasi
704,Georgia,SRID=4326;POINT (44.83368 41.69411),1,Tbilisi
705,Iran,SRID=4326;POINT (53.06009 36.56332),1,Sari
706,Austria,SRID=4326;POINT (9.7471 47.50311),1,Bregenz
707,France,SRID=4326;POINT (2.82791 50.43302),1,Lens
708,Cape Verde,SRID=4326;POINT (-23.51254 14.93152),1,Praia
709,United States,SRID=4326;POINT (-92.93769 47.42715),1,Hibbing
710,Central African Republic,SRID=4326;POINT (15.87735 4.94273),1,Carnot
711,China,SRID=4326;POINT (113.08333 22.58333),1,Jiangmen
712,China,SRID=4326;POINT (106.71667 26.58333),1,Guiyang
713,Namibia,SRID=4326;POINT (17.08323 -22.55941),1,Windhoek
714,Norway,SRID=4326;POINT (10.65771 59.43403),1,Moss
715,United States,SRID=4326;POINT (-111.8841 40.59161),1,Sandy
716,China,SRID=4326;POINT (113.58333 24.8),1,Shaoguan
717,Brazil,SRID=4326;POINT (-34.88111 -8.053890000000001),1,Recife
718,United States,SRID=4326;POINT (-86.10665 39.61366),1,Greenwood
719,Ivory Coast,SRID=4326;POINT (-5.27674 6.82055),1,Yamoussoukro
720,United States,SRID=4326;POINT (-74.11431 40.66871),1,Bayonne
721,India,SRID=4326;POINT (74.80555 34.08565),1,Srinagar
722,Italy,SRID=4326;POINT (9.0402 45.53245),1,Rho
723,United States,SRID=4326;POINT (-82.13066999999999 33.53375),1,Evans
724,China,SRID=4326;POINT (112.32833 28.58917),1,Yiyang
725,New Zealand,SRID=4326;POINT (173.28404 -41.27078),1,Nelson
726,Bangladesh,SRID=4326;POINT (91.87197999999999 24.89904),1,Sylhet
727,Brazil,SRID=4326;POINT (-37.99833 -11.18389),1,Tobias Barreto
728,Malaysia,SRID=4326;POINT (103.31689 2.03046),1,Kluang
729,United Kingdom,SRID=4326;POINT (-0.20691 51.80174),1,Welwyn Garden City
730,Croatia,SRID=4326;POINT (15.24222 44.11972),1,Zadar
731,Saudi Arabia,SRID=4326;POINT (39.19797 21.54238),1,Jeddah
732,Mali,SRID=4326;POINT (-8 12.65),1,Bamako
733,Israel,SRID=4326;POINT (34.85992 32.33291),1,Netanya
734,United Kingdom,SRID=4326;POINT (-2.07972 51.90006),1,Cheltenham
735,United States,SRID=4326;POINT (-105.0372 39.83665),1,Westminster
736,United Kingdom,SRID=4326;POINT (-2.99132 53.04664),1,Wrexham
737,Zambia,SRID=4326;POINT (28.28713 -15.40669),1,Lusaka
738,United States,SRID=4326;POINT (-86.01387 39.95559),1,Fishers
739,China,SRID=4326;POINT (111.6783 29.04638),1,Changde
740,Philippines,SRID=4326;POINT (120.6406 15.6653),1,Ramos
741,United States,SRID=4326;POINT (-73.24623 40.78121),1,Brentwood
742,Canada,SRID=4326;POINT (-79.76633 43.68341),1,Brampton
743,Germany,SRID=4326;POINT (9.191610000000001 48.89731),1,Ludwigsburg
744,Finland,SRID=4326;POINT (23.78712 61.49911),1,Tampere
745,United States,SRID=4326;POINT (-117.39616 33.95335),1,Riverside
746,Turkey,SRID=4326;POINT (41.27694 39.90861),1,Erzurum
747,Germany,SRID=4326;POINT (8.698919999999999 48.88436),1,Pforzheim
748,Morocco,SRID=4326;POINT (-7.38298 33.68607),1,Mohammedia
749,Italy,SRID=4326;POINT (17.24707 40.46438),1,Taranto
750,Turkey,SRID=4326;POINT (29.43068 40.80276),1,Gebze
751,United States,SRID=4326;POINT (-77.3411 38.96872),1,Reston
752,Egypt,SRID=4326;POINT (31.81332 31.41648),1,Damietta
753,Finland,SRID=4326;POINT (25.04099 60.29414),1,Vantaa
754,India,SRID=4326;POINT (79.43167 28.36678),1,Bareilly
755,Chad,SRID=4326;POINT (18.69303 12.18441),1,Mongo
756,Slovenia,SRID=4326;POINT (15.26044 46.23092),1,Celje
757,Jordan,SRID=4326;POINT (36.08796 32.07275),1,Zarqa
758,United States,SRID=4326;POINT (-77.20137 39.14344),1,Gaithersburg
759,United States,SRID=4326;POINT (-117.32726 33.66808),1,Lake Elsinore
760,Kenya,SRID=4326;POINT (37.45061 -0.53112),1,Embu
761,Italy,SRID=4326;POINT (15.55256 38.19394),1,Messina
762,Bangladesh,SRID=4326;POINT (91.83168000000001 22.3384),1,Chittagong
763,Ireland,SRID=4326;POINT (-8.623060000000001 52.66472),1,Luimneach
764,United States,SRID=4326;POINT (-101.85517 33.57786),1,Lubbock
765,China,SRID=4326;POINT (119.45528 35.4275),1,Rizhao
766,Mexico,SRID=4326;POINT (-92.93028 17.98689),1,Villahermosa
