,country__name,location,n,name
397,Ecuador,SRID=4326;POINT (-79.45998 -1.57504),1,Catarama
398,United States,SRID=4326;POINT (-117.75228 34.05529),1,Pomona
399,France,SRID=4326;POINT (3.08628 45.77966),1,Clermont-Ferrand
400,India,SRID=4326;POINT (77.4422 11.45496),1,Gobichettipalayam
401,Canada,SRID=4326;POINT (-79.6583 43.5789),1,Mississauga
402,Brazil,SRID=4326;POINT (-52.09861 -32.035),1,Rio Grande
403,United States,SRID=4326;POINT (-106.65114 35.08449),1,Albuquerque
404,India,SRID=4326;POINT (76.94924 8.4855),1,Thiruvananthapuram
405,Dominican Republic,SRID=4326;POINT (-71.07813 19.55186),1,Mao
406,China,SRID=4326;POINT (117.28083 31.86389),1,Hefei
407,Bhutan,SRID=4326;POINT (89.64191 27.46609),1,Thimphu
408,South Korea,SRID=4326;POINT (127.14889 35.82194),1,Jeonju
409,Turkey,SRID=4326;POINT (43.38323 38.49457),1,Van
410,China,SRID=4326;POINT (110.00404 27.56337),1,Huaihua
411,Nigeria,SRID=4326;POINT (4.54214 8.496639999999999),1,Ilorin
412,Israel,SRID=4326;POINT (34.81065 32.08227),1,Ramat Gan
413,Czechia,SRID=4326;POINT (16.60796 49.19522),1,Brno
414,Germany,SRID=4326;POINT (6.08342 50.77664),1,Aachen
415,United States,SRID=4326;POINT (-90.07729 29.90354),1,Harvey
416,United States,SRID=4326;POINT (-112.53474 46.00382),1,Butte
417,India,SRID=4326;POINT (71.76975 23.88745),1,Un
418,Pakistan,SRID=4326;POINT (73.06789999999999 33.6007),1,Rawalpindi
419,United Kingdom,SRID=4326;POINT (-1.51217 52.40656),1,Coventry
420,Spain,SRID=4326;POINT (-1.13004 37.98704),1,Murcia
421,Russia,SRID=4326;POINT (41.53699 58.48067),1,Buy
422,United States,SRID=4326;POINT (-77.41054 39.41427),1,Frederick
423,France,SRID=4326;POINT (-1.15 46.16667),1,La Rochelle
424,Croatia,SRID=4326;POINT (16.43915 43.50891),1,Split
425,India,SRID=4326;POINT (85.13563000000001 25.59408),1,Patna
426,Argentina,SRID=4326;POINT (-58.98389 -27.46056),1,Resistencia
427,United States,SRID=4326;POINT (-77.46026000000001 37.55376),1,Richmond
428,Ghana,SRID=4326;POINT (-2.50192 10.06069),1,Wa
429,Macedonia,SRID=4326;POINT (21.71444 42.13222),1,Kumanovo
430,Palestinian Territory,SRID=4326;POINT (35.45 31.86667),1,Jericho
431,China,SRID=4326;POINT (111.99444 27.73444),1,Loudi
432,Turkey,SRID=4326;POINT (37.01611 39.74833),1,Sivas
433,Turkey,SRID=4326;POINT (29.06013 40.19559),1,Bursa
434,United Kingdom,SRID=4326;POINT (-0.76667 53.38333),1,Gainsborough
435,Tunisia,SRID=4326;POINT (10.76028 34.74056),1,Sfax
436,Chile,SRID=4326;POINT (-71.59308 -35.84667),1,Linares
437,Turkey,SRID=4326;POINT (36.3361 41.27976),1,Samsun
438,United States,SRID=4326;POINT (-81.84059000000001 26.62168),1,Fort Myers
439,Turkey,SRID=4326;POINT (29.0875 37.77417),1,Denizli
440,Guatemala,SRID=4326;POINT (-91.50333000000001 14.53417),1,Mazatenango
441,Italy,SRID=4326;POINT (12.65419 41.59452),1,Aprilia
442,Honduras,SRID=4326;POINT (-88.02500000000001 15.50417),1,San Pedro Sula
443,Portugal,SRID=4326;POINT (-9.230829999999999 38.75382),1,Amadora
444,Kenya,SRID=4326;POINT (35.26993 0.52036),1,Eldoret
445,China,SRID=4326;POINT (113.15 27.83333),1,Zhuzhou
446,United States,SRID=4326;POINT (-111.90931 33.41477),1,Tempe
447,Uruguay,SRID=4326;POINT (-57.96667 -31.38333),1,Salto
448,France,SRID=4326;POINT (3.87723 43.61092),1,Montpellier
449,United Kingdom,SRID=4326;POINT (-2.97489 56.46913),1,Dundee
450,United States,SRID=4326;POINT (-95.48938 30.15799),1,The Woodlands
451,China,SRID=4326;POINT (111.51667 24.41667),1,Babu
452,India,SRID=4326;POINT (74.41889999999999 14.42853),1,Kumta
453,Austria,SRID=4326;POINT (15.45 47.06667),1,Graz
454,United Kingdom,SRID=4326;POINT (-2.08333 52.5),1,Dudley
455,Iran,SRID=4326;POINT (49.58862 37.27611),1,Rasht
456,South Africa,SRID=4326;POINT (30.63646 -29.81292),1,Mpumalanga
457,United States,SRID=4326;POINT (-118.08173 33.90224),1,Norwalk
458,India,SRID=4326;POINT (79.08490999999999 21.14631),1,Nagpur
459,United States,SRID=4326;POINT (-96.72972 32.94818),1,Richardson
460,Nigeria,SRID=4326;POINT (7.49883 6.44132),1,Enugu
461,Zimbabwe,SRID=4326;POINT (28.58333 -20.15),1,Bulawayo
462,India,SRID=4326;POINT (73.81491 15.38914),1,Mormugao
463,Nepal,SRID=4326;POINT (85.90646 26.71828),1,Janakpur
464,Spain,SRID=4326;POINT (-6.2891 36.52672),1,Cadiz
465,Spain,SRID=4326;POINT (1.25 41.11667),1,Tarragona
466,Mexico,SRID=4326;POINT (-116.60071 31.87149),1,Ensenada
467,United States,SRID=4326;POINT (-93.61994 42.03471),1,Ames
468,Benin,SRID=4326;POINT (2.41833 6.36536),1,Cotonou
469,United States,SRID=4326;POINT (-104.82136 38.83388),1,Colorado Springs
470,United States,SRID=4326;POINT (-122.03107 37.97798),1,Concord
